code,product_name,categories,packaging,ingredients_analysis_tags,ecoscore_score,ecoscore_grade,food_type,is_biodegradable,final_ecoscore,biodegradability_score,biodegradability_label,clean_category,product_name_lower,clean_category_fixed
8904063209702.0,Dal Palak,,,"['en:vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,grain,dal palak,grain
8997033001505.0,YAVA CACAO,,,,,,other,no,,30.0,Non Biodegradable,confectionery,yava cacao,confectionery
8904004401219.0,Dal Biji,,,"['en:palm-oil', 'en:vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,grain,dal biji,grain
8992775002018.0,,,,,,,other,no,,30.0,Non Biodegradable,non_food,,non_food
8935005305763.0,Crackers Beurre 250G,,,,,,other,no,,30.0,Non Biodegradable,snack,crackers beurre 250g,snack
8993297832756.0,Sardines à l'huile 125g Maroc Koira sarl,,,,,,other,no,,30.0,Non Biodegradable,non_food,sardines à l'huile 125g maroc koira sarl,non_food
8901058869873.0,BARONE,,,,,,other,no,,30.0,Non Biodegradable,confectionery,barone,confectionery
8904063240033.0,Haldiram's khatt meetha,,,,,,other,no,,30.0,Non Biodegradable,non_food,haldiram's khatt meetha,non_food
8935000901342.0,Assortissement confiseries,,,,,,other,no,,30.0,Non Biodegradable,non_food,assortissement confiseries,non_food
8901491100533.0,Chilli Chatka 20rs,,,"['en:palm-oil', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']",,,other,no,,40.0,Moderately Biodegradable,non_food,chilli chatka 20rs,non_food
8997032222123.0,Coco Aminos Würzsauce,,,"['en:palm-oil-content-unknown', 'en:vegan', 'en:vegetarian']",,,other,no,,40.0,Moderately Biodegradable,condiment,coco aminos würzsauce,sauce_condiment
8935000901410.0,Gâteau de riz au banane congelé,,,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,,beverage,no,,40.0,Moderately Biodegradable,beverage,gâteau de riz au banane congelé,beverage
8936079561017.0,Lait de coco,,Brique,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']",,,other,no,,50.0,Moderately Biodegradable,non_food,lait de coco,non_food
8964000122105.0,RoohAfza,,,,,,other,no,,30.0,Non Biodegradable,non_food,roohafza,beverage_syrup
8908013398010.0,VegPro Soya Chunks,,,['en:vegetarian'],,,other,no,,35.0,Non Biodegradable,non_food,vegpro soya chunks,grain
